price_date,commodity_id,price_type,price_currency,price_value,source_name
2020-01-01,CMD-COFFEE-ARABICA,spot,USD,3.28,FAOSTAT
2020-01-01,CMD-BANANA-CAVENDISH,spot,USD,0.36,FAOSTAT
2020-01-01,CMD-COCOA-BEAN,spot,USD,2.15,FAOSTAT
2020-01-01,CMD-PALM-OIL,spot,USD,0.88,FAOSTAT
2020-01-01,CMD-SUGAR-RAW,spot,USD,0.465,FAOSTAT
2020-02-01,CMD-COFFEE-ARABICA,spot,USD,3.36,FAOSTAT
2020-02-01,CMD-BANANA-CAVENDISH,spot,USD,0.37,FAOSTAT
2020-02-01,CMD-COCOA-BEAN,spot,USD,2.2,FAOSTAT
2020-02-01,CMD-PALM-OIL,spot,USD,0.91,FAOSTAT
2020-02-01,CMD-SUGAR-RAW,spot,USD,0.48,FAOSTAT
2020-03-01,CMD-COFFEE-ARABICA,spot,USD,3.44,FAOSTAT
2020-03-01,CMD-BANANA-CAVENDISH,spot,USD,0.38,FAOSTAT
2020-03-01,CMD-COCOA-BEAN,spot,USD,2.25,FAOSTAT
2020-03-01,CMD-PALM-OIL,spot,USD,0.94,FAOSTAT
2020-03-01,CMD-SUGAR-RAW,spot,USD,0.495,FAOSTAT
2020-04-01,CMD-COFFEE-ARABICA,spot,USD,3.52,FAOSTAT
2020-04-01,CMD-BANANA-CAVENDISH,spot,USD,0.39,FAOSTAT
2020-04-01,CMD-COCOA-BEAN,spot,USD,2.3,FAOSTAT
2020-04-01,CMD-PALM-OIL,spot,USD,0.97,FAOSTAT
2020-04-01,CMD-SUGAR-RAW,spot,USD,0.51,FAOSTAT
2020-05-01,CMD-COFFEE-ARABICA,spot,USD,3.6,FAOSTAT
2020-05-01,CMD-BANANA-CAVENDISH,spot,USD,0.4,FAOSTAT
2020-05-01,CMD-COCOA-BEAN,spot,USD,2.35,FAOSTAT
2020-05-01,CMD-PALM-OIL,spot,USD,1.0,FAOSTAT
2020-05-01,CMD-SUGAR-RAW,spot,USD,0.525,FAOSTAT
2020-06-01,CMD-COFFEE-ARABICA,spot,USD,3.68,FAOSTAT
2020-06-01,CMD-BANANA-CAVENDISH,spot,USD,0.41,FAOSTAT
2020-06-01,CMD-COCOA-BEAN,spot,USD,2.4,FAOSTAT
2020-06-01,CMD-PALM-OIL,spot,USD,1.03,FAOSTAT
2020-06-01,CMD-SUGAR-RAW,spot,USD,0.54,FAOSTAT
2020-07-01,CMD-COFFEE-ARABICA,spot,USD,3.76,FAOSTAT
2020-07-01,CMD-BANANA-CAVENDISH,spot,USD,0.42,FAOSTAT
2020-07-01,CMD-COCOA-BEAN,spot,USD,2.45,FAOSTAT
2020-07-01,CMD-PALM-OIL,spot,USD,1.06,FAOSTAT
2020-07-01,CMD-SUGAR-RAW,spot,USD,0.555,FAOSTAT
2020-08-01,CMD-COFFEE-ARABICA,spot,USD,3.84,FAOSTAT
2020-08-01,CMD-BANANA-CAVENDISH,spot,USD,0.43,FAOSTAT
2020-08-01,CMD-COCOA-BEAN,spot,USD,2.5,FAOSTAT
2020-08-01,CMD-PALM-OIL,spot,USD,1.09,FAOSTAT
2020-08-01,CMD-SUGAR-RAW,spot,USD,0.57,FAOSTAT
2020-09-01,CMD-COFFEE-ARABICA,spot,USD,3.92,FAOSTAT
2020-09-01,CMD-BANANA-CAVENDISH,spot,USD,0.44,FAOSTAT
2020-09-01,CMD-COCOA-BEAN,spot,USD,2.55,FAOSTAT
2020-09-01,CMD-PALM-OIL,spot,USD,1.12,FAOSTAT
2020-09-01,CMD-SUGAR-RAW,spot,USD,0.585,FAOSTAT
2020-10-01,CMD-COFFEE-ARABICA,spot,USD,4.0,FAOSTAT
2020-10-01,CMD-BANANA-CAVENDISH,spot,USD,0.45,FAOSTAT
2020-10-01,CMD-COCOA-BEAN,spot,USD,2.6,FAOSTAT
2020-10-01,CMD-PALM-OIL,spot,USD,1.15,FAOSTAT
2020-10-01,CMD-SUGAR-RAW,spot,USD,0.6,FAOSTAT
2020-11-01,CMD-COFFEE-ARABICA,spot,USD,4.08,FAOSTAT
2020-11-01,CMD-BANANA-CAVENDISH,spot,USD,0.46,FAOSTAT
2020-11-01,CMD-COCOA-BEAN,spot,USD,2.65,FAOSTAT
2020-11-01,CMD-PALM-OIL,spot,USD,1.18,FAOSTAT
2020-11-01,CMD-SUGAR-RAW,spot,USD,0.615,FAOSTAT
2020-12-01,CMD-COFFEE-ARABICA,spot,USD,4.16,FAOSTAT
2020-12-01,CMD-BANANA-CAVENDISH,spot,USD,0.47,FAOSTAT
2020-12-01,CMD-COCOA-BEAN,spot,USD,2.7,FAOSTAT
2020-12-01,CMD-PALM-OIL,spot,USD,1.21,FAOSTAT
2020-12-01,CMD-SUGAR-RAW,spot,USD,0.63,FAOSTAT
2021-01-01,CMD-COFFEE-ARABICA,spot,USD,4.24,FAOSTAT
2021-01-01,CMD-BANANA-CAVENDISH,spot,USD,0.48,FAOSTAT
2021-01-01,CMD-COCOA-BEAN,spot,USD,2.75,FAOSTAT
2021-01-01,CMD-PALM-OIL,spot,USD,1.24,FAOSTAT
2021-01-01,CMD-SUGAR-RAW,spot,USD,0.645,FAOSTAT
2021-02-01,CMD-COFFEE-ARABICA,spot,USD,4.32,FAOSTAT
2021-02-01,CMD-BANANA-CAVENDISH,spot,USD,0.49,FAOSTAT
2021-02-01,CMD-COCOA-BEAN,spot,USD,2.8,FAOSTAT
2021-02-01,CMD-PALM-OIL,spot,USD,1.27,FAOSTAT
2021-02-01,CMD-SUGAR-RAW,spot,USD,0.66,FAOSTAT
2021-03-01,CMD-COFFEE-ARABICA,spot,USD,4.4,FAOSTAT
2021-03-01,CMD-BANANA-CAVENDISH,spot,USD,0.5,FAOSTAT
2021-03-01,CMD-COCOA-BEAN,spot,USD,2.85,FAOSTAT
2021-03-01,CMD-PALM-OIL,spot,USD,1.3,FAOSTAT
2021-03-01,CMD-SUGAR-RAW,spot,USD,0.675,FAOSTAT
2021-04-01,CMD-COFFEE-ARABICA,spot,USD,4.48,FAOSTAT
2021-04-01,CMD-BANANA-CAVENDISH,spot,USD,0.51,FAOSTAT
2021-04-01,CMD-COCOA-BEAN,spot,USD,2.9,FAOSTAT
2021-04-01,CMD-PALM-OIL,spot,USD,1.33,FAOSTAT
2021-04-01,CMD-SUGAR-RAW,spot,USD,0.69,FAOSTAT
2021-05-01,CMD-COFFEE-ARABICA,spot,USD,4.56,FAOSTAT
2021-05-01,CMD-BANANA-CAVENDISH,spot,USD,0.52,FAOSTAT
2021-05-01,CMD-COCOA-BEAN,spot,USD,2.95,FAOSTAT
2021-05-01,CMD-PALM-OIL,spot,USD,1.36,FAOSTAT
2021-05-01,CMD-SUGAR-RAW,spot,USD,0.705,FAOSTAT
2021-06-01,CMD-COFFEE-ARABICA,spot,USD,4.64,FAOSTAT
2021-06-01,CMD-BANANA-CAVENDISH,spot,USD,0.53,FAOSTAT
2021-06-01,CMD-COCOA-BEAN,spot,USD,3.0,FAOSTAT
2021-06-01,CMD-PALM-OIL,spot,USD,1.39,FAOSTAT
2021-06-01,CMD-SUGAR-RAW,spot,USD,0.72,FAOSTAT
2021-07-01,CMD-COFFEE-ARABICA,spot,USD,4.72,FAOSTAT
2021-07-01,CMD-BANANA-CAVENDISH,spot,USD,0.54,FAOSTAT
2021-07-01,CMD-COCOA-BEAN,spot,USD,3.05,FAOSTAT
2021-07-01,CMD-PALM-OIL,spot,USD,1.42,FAOSTAT
2021-07-01,CMD-SUGAR-RAW,spot,USD,0.735,FAOSTAT
2021-08-01,CMD-COFFEE-ARABICA,spot,USD,4.8,FAOSTAT
2021-08-01,CMD-BANANA-CAVENDISH,spot,USD,0.55,FAOSTAT
2021-08-01,CMD-COCOA-BEAN,spot,USD,3.1,FAOSTAT
2021-08-01,CMD-PALM-OIL,spot,USD,1.45,FAOSTAT
2021-08-01,CMD-SUGAR-RAW,spot,USD,0.75,FAOSTAT
2021-09-01,CMD-COFFEE-ARABICA,spot,USD,4.88,FAOSTAT
2021-09-01,CMD-BANANA-CAVENDISH,spot,USD,0.56,FAOSTAT
2021-09-01,CMD-COCOA-BEAN,spot,USD,3.15,FAOSTAT
2021-09-01,CMD-PALM-OIL,spot,USD,1.48,FAOSTAT
2021-09-01,CMD-SUGAR-RAW,spot,USD,0.765,FAOSTAT
2021-10-01,CMD-COFFEE-ARABICA,spot,USD,4.96,FAOSTAT
2021-10-01,CMD-BANANA-CAVENDISH,spot,USD,0.57,FAOSTAT
2021-10-01,CMD-COCOA-BEAN,spot,USD,3.2,FAOSTAT
2021-10-01,CMD-PALM-OIL,spot,USD,1.51,FAOSTAT
2021-10-01,CMD-SUGAR-RAW,spot,USD,0.78,FAOSTAT
2021-11-01,CMD-COFFEE-ARABICA,spot,USD,5.04,FAOSTAT
2021-11-01,CMD-BANANA-CAVENDISH,spot,USD,0.58,FAOSTAT
2021-11-01,CMD-COCOA-BEAN,spot,USD,3.25,FAOSTAT
2021-11-01,CMD-PALM-OIL,spot,USD,1.54,FAOSTAT
2021-11-01,CMD-SUGAR-RAW,spot,USD,0.795,FAOSTAT
2021-12-01,CMD-COFFEE-ARABICA,spot,USD,5.12,FAOSTAT
2021-12-01,CMD-BANANA-CAVENDISH,spot,USD,0.59,FAOSTAT
2021-12-01,CMD-COCOA-BEAN,spot,USD,3.3,FAOSTAT
2021-12-01,CMD-PALM-OIL,spot,USD,1.57,FAOSTAT
2021-12-01,CMD-SUGAR-RAW,spot,USD,0.81,FAOSTAT
2022-01-01,CMD-COFFEE-ARABICA,spot,USD,5.2,FAOSTAT
2022-01-01,CMD-BANANA-CAVENDISH,spot,USD,0.6,FAOSTAT
2022-01-01,CMD-COCOA-BEAN,spot,USD,3.35,FAOSTAT
2022-01-01,CMD-PALM-OIL,spot,USD,1.6,FAOSTAT
2022-01-01,CMD-SUGAR-RAW,spot,USD,0.825,FAOSTAT
2022-02-01,CMD-COFFEE-ARABICA,spot,USD,5.28,FAOSTAT
2022-02-01,CMD-BANANA-CAVENDISH,spot,USD,0.61,FAOSTAT
2022-02-01,CMD-COCOA-BEAN,spot,USD,3.4,FAOSTAT
2022-02-01,CMD-PALM-OIL,spot,USD,1.63,FAOSTAT
2022-02-01,CMD-SUGAR-RAW,spot,USD,0.84,FAOSTAT
2022-03-01,CMD-COFFEE-ARABICA,spot,USD,5.36,FAOSTAT
2022-03-01,CMD-BANANA-CAVENDISH,spot,USD,0.62,FAOSTAT
2022-03-01,CMD-COCOA-BEAN,spot,USD,3.45,FAOSTAT
2022-03-01,CMD-PALM-OIL,spot,USD,1.66,FAOSTAT
2022-03-01,CMD-SUGAR-RAW,spot,USD,0.855,FAOSTAT
2022-04-01,CMD-COFFEE-ARABICA,spot,USD,5.44,FAOSTAT
2022-04-01,CMD-BANANA-CAVENDISH,spot,USD,0.63,FAOSTAT
2022-04-01,CMD-COCOA-BEAN,spot,USD,3.5,FAOSTAT
2022-04-01,CMD-PALM-OIL,spot,USD,1.69,FAOSTAT
2022-04-01,CMD-SUGAR-RAW,spot,USD,0.87,FAOSTAT
2022-05-01,CMD-COFFEE-ARABICA,spot,USD,5.52,FAOSTAT
2022-05-01,CMD-BANANA-CAVENDISH,spot,USD,0.64,FAOSTAT
2022-05-01,CMD-COCOA-BEAN,spot,USD,3.55,FAOSTAT
2022-05-01,CMD-PALM-OIL,spot,USD,1.72,FAOSTAT
2022-05-01,CMD-SUGAR-RAW,spot,USD,0.885,FAOSTAT
2022-06-01,CMD-COFFEE-ARABICA,spot,USD,5.6,FAOSTAT
2022-06-01,CMD-BANANA-CAVENDISH,spot,USD,0.65,FAOSTAT
2022-06-01,CMD-COCOA-BEAN,spot,USD,3.6,FAOSTAT
2022-06-01,CMD-PALM-OIL,spot,USD,1.75,FAOSTAT
2022-06-01,CMD-SUGAR-RAW,spot,USD,0.9,FAOSTAT
2022-07-01,CMD-COFFEE-ARABICA,spot,USD,5.68,FAOSTAT
2022-07-01,CMD-BANANA-CAVENDISH,spot,USD,0.66,FAOSTAT
2022-07-01,CMD-COCOA-BEAN,spot,USD,3.65,FAOSTAT
2022-07-01,CMD-PALM-OIL,spot,USD,1.78,FAOSTAT
2022-07-01,CMD-SUGAR-RAW,spot,USD,0.915,FAOSTAT
2022-08-01,CMD-COFFEE-ARABICA,spot,USD,5.76,FAOSTAT
2022-08-01,CMD-BANANA-CAVENDISH,spot,USD,0.67,FAOSTAT
2022-08-01,CMD-COCOA-BEAN,spot,USD,3.7,FAOSTAT
2022-08-01,CMD-PALM-OIL,spot,USD,1.81,FAOSTAT
2022-08-01,CMD-SUGAR-RAW,spot,USD,0.93,FAOSTAT
2022-09-01,CMD-COFFEE-ARABICA,spot,USD,5.84,FAOSTAT
2022-09-01,CMD-BANANA-CAVENDISH,spot,USD,0.68,FAOSTAT
2022-09-01,CMD-COCOA-BEAN,spot,USD,3.75,FAOSTAT
2022-09-01,CMD-PALM-OIL,spot,USD,1.84,FAOSTAT
2022-09-01,CMD-SUGAR-RAW,spot,USD,0.945,FAOSTAT
2022-10-01,CMD-COFFEE-ARABICA,spot,USD,5.92,FAOSTAT
2022-10-01,CMD-BANANA-CAVENDISH,spot,USD,0.69,FAOSTAT
2022-10-01,CMD-COCOA-BEAN,spot,USD,3.8,FAOSTAT
2022-10-01,CMD-PALM-OIL,spot,USD,1.87,FAOSTAT
2022-10-01,CMD-SUGAR-RAW,spot,USD,0.96,FAOSTAT
2022-11-01,CMD-COFFEE-ARABICA,spot,USD,6.0,FAOSTAT
2022-11-01,CMD-BANANA-CAVENDISH,spot,USD,0.7,FAOSTAT
2022-11-01,CMD-COCOA-BEAN,spot,USD,3.85,FAOSTAT
2022-11-01,CMD-PALM-OIL,spot,USD,1.9,FAOSTAT
2022-11-01,CMD-SUGAR-RAW,spot,USD,0.975,FAOSTAT
2022-12-01,CMD-COFFEE-ARABICA,spot,USD,6.08,FAOSTAT
2022-12-01,CMD-BANANA-CAVENDISH,spot,USD,0.71,FAOSTAT
2022-12-01,CMD-COCOA-BEAN,spot,USD,3.9,FAOSTAT
2022-12-01,CMD-PALM-OIL,spot,USD,1.93,FAOSTAT
2022-12-01,CMD-SUGAR-RAW,spot,USD,0.99,FAOSTAT
2023-01-01,CMD-COFFEE-ARABICA,spot,USD,6.16,FAOSTAT
2023-01-01,CMD-BANANA-CAVENDISH,spot,USD,0.72,FAOSTAT
2023-01-01,CMD-COCOA-BEAN,spot,USD,3.95,FAOSTAT
2023-01-01,CMD-PALM-OIL,spot,USD,1.96,FAOSTAT
2023-01-01,CMD-SUGAR-RAW,spot,USD,1.005,FAOSTAT
2023-02-01,CMD-COFFEE-ARABICA,spot,USD,6.24,FAOSTAT
2023-02-01,CMD-BANANA-CAVENDISH,spot,USD,0.73,FAOSTAT
2023-02-01,CMD-COCOA-BEAN,spot,USD,4.0,FAOSTAT
2023-02-01,CMD-PALM-OIL,spot,USD,1.99,FAOSTAT
2023-02-01,CMD-SUGAR-RAW,spot,USD,1.02,FAOSTAT
2023-03-01,CMD-COFFEE-ARABICA,spot,USD,6.32,FAOSTAT
2023-03-01,CMD-BANANA-CAVENDISH,spot,USD,0.74,FAOSTAT
2023-03-01,CMD-COCOA-BEAN,spot,USD,4.05,FAOSTAT
2023-03-01,CMD-PALM-OIL,spot,USD,2.02,FAOSTAT
2023-03-01,CMD-SUGAR-RAW,spot,USD,1.035,FAOSTAT
2023-04-01,CMD-COFFEE-ARABICA,spot,USD,6.4,FAOSTAT
2023-04-01,CMD-BANANA-CAVENDISH,spot,USD,0.75,FAOSTAT
2023-04-01,CMD-COCOA-BEAN,spot,USD,4.1,FAOSTAT
2023-04-01,CMD-PALM-OIL,spot,USD,2.05,FAOSTAT
2023-04-01,CMD-SUGAR-RAW,spot,USD,1.05,FAOSTAT
2023-05-01,CMD-COFFEE-ARABICA,spot,USD,6.48,FAOSTAT
2023-05-01,CMD-BANANA-CAVENDISH,spot,USD,0.76,FAOSTAT
2023-05-01,CMD-COCOA-BEAN,spot,USD,4.15,FAOSTAT
2023-05-01,CMD-PALM-OIL,spot,USD,2.08,FAOSTAT
2023-05-01,CMD-SUGAR-RAW,spot,USD,1.065,FAOSTAT
2023-06-01,CMD-COFFEE-ARABICA,spot,USD,6.56,FAOSTAT
2023-06-01,CMD-BANANA-CAVENDISH,spot,USD,0.77,FAOSTAT
2023-06-01,CMD-COCOA-BEAN,spot,USD,4.2,FAOSTAT
2023-06-01,CMD-PALM-OIL,spot,USD,2.11,FAOSTAT
2023-06-01,CMD-SUGAR-RAW,spot,USD,1.08,FAOSTAT
2023-07-01,CMD-COFFEE-ARABICA,spot,USD,6.64,FAOSTAT
2023-07-01,CMD-BANANA-CAVENDISH,spot,USD,0.78,FAOSTAT
2023-07-01,CMD-COCOA-BEAN,spot,USD,4.25,FAOSTAT
2023-07-01,CMD-PALM-OIL,spot,USD,2.14,FAOSTAT
2023-07-01,CMD-SUGAR-RAW,spot,USD,1.095,FAOSTAT
2023-08-01,CMD-COFFEE-ARABICA,spot,USD,6.72,FAOSTAT
2023-08-01,CMD-BANANA-CAVENDISH,spot,USD,0.79,FAOSTAT
2023-08-01,CMD-COCOA-BEAN,spot,USD,4.3,FAOSTAT
2023-08-01,CMD-PALM-OIL,spot,USD,2.17,FAOSTAT
2023-08-01,CMD-SUGAR-RAW,spot,USD,1.11,FAOSTAT
2023-09-01,CMD-COFFEE-ARABICA,spot,USD,6.8,FAOSTAT
2023-09-01,CMD-BANANA-CAVENDISH,spot,USD,0.8,FAOSTAT
2023-09-01,CMD-COCOA-BEAN,spot,USD,4.35,FAOSTAT
2023-09-01,CMD-PALM-OIL,spot,USD,2.2,FAOSTAT
2023-09-01,CMD-SUGAR-RAW,spot,USD,1.125,FAOSTAT
2023-10-01,CMD-COFFEE-ARABICA,spot,USD,6.88,FAOSTAT
2023-10-01,CMD-BANANA-CAVENDISH,spot,USD,0.81,FAOSTAT
2023-10-01,CMD-COCOA-BEAN,spot,USD,4.4,FAOSTAT
2023-10-01,CMD-PALM-OIL,spot,USD,2.23,FAOSTAT
2023-10-01,CMD-SUGAR-RAW,spot,USD,1.14,FAOSTAT
2023-11-01,CMD-COFFEE-ARABICA,spot,USD,6.96,FAOSTAT
2023-11-01,CMD-BANANA-CAVENDISH,spot,USD,0.82,FAOSTAT
2023-11-01,CMD-COCOA-BEAN,spot,USD,4.45,FAOSTAT
2023-11-01,CMD-PALM-OIL,spot,USD,2.26,FAOSTAT
2023-11-01,CMD-SUGAR-RAW,spot,USD,1.155,FAOSTAT
2023-12-01,CMD-COFFEE-ARABICA,spot,USD,7.04,FAOSTAT
2023-12-01,CMD-BANANA-CAVENDISH,spot,USD,0.83,FAOSTAT
2023-12-01,CMD-COCOA-BEAN,spot,USD,4.5,FAOSTAT
2023-12-01,CMD-PALM-OIL,spot,USD,2.29,FAOSTAT
2023-12-01,CMD-SUGAR-RAW,spot,USD,1.17,FAOSTAT
